-9.54 5.20 -1.61 1.40 4.50 3.10 5.42 6.95 4.86 16.27 15.56 2.50 20.09 -3.99 -1.28 -6.91 7.07 0.41 9.51
-7.49 5.78 0.42 2.25 5.49 4.51 6.14 9.36 6.50 16.65 16.22 2.96 19.65 -3.17 -0.03 -5.96 7.27 1.24 9.98
-5.58 6.28 2.22 2.92 6.25 5.62 6.83 11.58 7.95 17.02 16.79 3.37 19.30 -2.57 1.19 -5.09 7.48 1.94 10.45
-3.87 6.69 3.70 3.40 6.77 6.35 7.40 13.47 9.10 17.29 17.18 3.61 18.96 -2.17 2.26 -4.32 7.65 2.46 10.83
-2.40 7.04 4.81 3.71 7.06 6.70 7.81 14.87 9.85 17.37 17.36 3.61 18.58 -1.97 3.13 -3.69 7.73 2.77 11.03
-1.20 7.36 5.52 3.89 7.16 6.66 8.04 15.71 10.15 17.21 17.28 3.33 18.11 -1.96 3.78 -3.19 7.71 2.86 11.00
-0.28 7.70 5.84 4.02 7.17 6.30 8.10 15.96 9.99 16.80 16.98 2.78 17.54 -2.10 4.21 -2.82 7.59 2.75 10.71
0.35 8.13 5.82 4.20 7.17 5.71 8.04 15.68 9.42 16.15 16.48 1.99 16.88 -2.37 4.51 -2.56 7.39 2.47 10.18
0.75 8.68 5.55 4.51 7.26 4.98 7.93 14.98 8.51 15.34 15.87 1.02 16.14 -2.72 4.74 -2.38 7.17 2.08 9.48
0.97 9.37 5.15 5.03 7.53 4.27 7.86 14.04 7.39 14.44 15.24 -0.04 15.38 -3.10 4.97 -2.23 6.96 1.65 8.69
1.06 10.17 4.74 5.78 8.01 3.69 7.88 13.04 6.19 13.55 14.66 -1.10 14.65 -3.45 5.27 -2.07 6.81 1.24 7.90
1.11 11.03 4.42 6.76 8.71 3.34 8.03 12.14 5.01 12.75 14.19 -2.10 13.98 -3.73 5.63 -1.87 6.75 0.92 7.19
1.16 11.88 4.28 7.89 9.59 3.29 8.30 11.48 3.96 12.08 13.86 -2.98 13.39 -3.89 6.04 -1.57 6.78 0.73 6.61
1.25 12.61 4.36 9.07 10.56 3.56 8.65 11.12 3.10 11.57 13.66 -3.72 12.90 -3.92 6.41 -1.16 6.86 0.69 6.18
1.36 13.13 4.66 10.18 11.52 4.11 8.99 11.09 2.44 11.21 13.53 -4.33 12.48 -3.82 6.68 -0.65 6.94 0.79 5.88
1.48 13.37 5.14 11.09 12.36 4.89 9.26 11.32 1.98 10.94 13.43 -4.84 12.11 -3.62 6.76 -0.03 6.98 1.01 5.68
1.55 13.28 5.73 11.69 12.97 5.80 9.38 11.74 1.69 10.71 13.29 -5.29 11.76 -3.34 6.60 0.65 6.93 1.30 5.50
1.50 12.86 6.36 11.91 13.31 6.73 9.30 12.23 1.53 10.47 13.05 -5.70 11.40 -3.05 6.19 1.35 6.74 1.63 5.31
1.29 12.15 6.92 11.72 13.32 7.57 9.00 12.67 1.44 10.19 12.69 -6.10 11.03 -2.80 5.54 2.02 6.43 1.94 5.06
0.88 11.20 7.34 11.13 13.03 8.24 8.53 12.98 1.37 9.85 12.20 -6.49 10.64 -2.65 4.73 2.61 6.01 2.21 4.74
0.22 10.10 7.54 10.23 12.48 8.67 7.94 13.06 1.30 9.45 11.61 -6.86 10.27 -2.66 3.85 3.08 5.51 2.41 4.36
-0.65 8.95 7.47 9.09 11.73 8.83 7.30 12.88 1.18 9.03 10.95 -7.17 9.93 -2.84 3.00 3.38 4.99 2.51 3.95
-1.72 7.84 7.12 7.83 10.87 8.70 6.71 12.44 1.00 8.62 10.26 -7.42 9.65 -3.21 2.27 3.50 4.50 2.51 3.55
-2.91 6.84 6.52 6.55 9.98 8.31 6.23 11.76 0.73 8.24 9.59 -7.59 9.44 -3.75 1.73 3.44 4.10 2.40 3.22
-4.14 5.98 5.69 5.37 9.12 7.69 5.90 10.88 0.36 7.91 8.94 -7.67 9.30 -4.42 1.41 3.19 3.80 2.17 2.97
-5.32 5.31 4.72 4.36 8.34 6.90 5.74 9.86 -0.10 7.64 8.33 -7.68 9.20 -5.14 1.33 2.80 3.63 1.83 2.82
-6.37 4.81 3.68 3.56 7.67 5.99 5.71 8.76 -0.65 7.40 7.73 -7.63 9.12 -5.83 1.44 2.30 3.56 1.37 2.76
-7.20 4.47 2.67 2.98 7.11 5.04 5.77 7.63 -1.25 7.16 7.14 -7.53 9.03 -6.38 1.70 1.77 3.57 0.83 2.74
-7.75 4.27 1.76 2.61 6.66 4.10 5.84 6.50 -1.87 6.89 6.52 -7.41 8.89 -6.70 2.03 1.27 3.62 0.23 2.73
-8.01 4.19 1.00 2.42 6.28 3.22 5.86 5.40 -2.49 6.56 5.87 -7.27 8.69 -6.73 2.37 0.86 3.67 -0.41 2.67
-7.98 4.22 0.43 2.38 5.97 2.44 5.78 4.35 -3.06 6.17 5.20 -7.14 8.45 -6.44 2.66 0.60 3.70 -1.03 2.53
-7.69 4.34 0.04 2.43 5.73 1.78 5.58 3.35 -3.57 5.73 4.52 -7.04 8.17 -5.83 2.86 0.54 3.69 -1.61 2.29
-7.19 4.57 -0.18 2.56 5.54 1.23 5.28 2.40 -4.01 5.26 3.89 -7.00 7.88 -4.95 2.97 0.68 3.66 -2.13 1.96
-6.55 4.90 -0.27 2.75 5.42 0.79 4.90 1.50 -4.38 4.81 3.32 -7.04 7.61 -3.87 3.00 1.02 3.62 -2.56 1.57
-5.83 5.31 -0.29 2.97 5.37 0.46 4.51 0.66 -4.71 4.42 2.88 -7.21 7.35 -2.69 3.00 1.54 3.62 -2.91 1.16
-5.08 5.80 -0.28 3.23 5.40 0.22 4.19 -0.10 -5.02 4.11 2.59 -7.51 7.12 -1.51 3.01 2.19 3.70 -3.18 0.79
-4.34 6.34 -0.26 3.51 5.51 0.07 3.99 -0.78 -5.32 3.92 2.46 -7.94 6.89 -0.40 3.11 2.96 3.89 -3.37 0.51
-3.64 6.90 -0.25 3.82 5.68 0.03 3.98 -1.34 -5.59 3.84 2.51 -8.48 6.63 0.59 3.34 3.80 4.21 -3.48 0.36
