53.56,0.94,49.30,4.44,26.72,35.76,4.92,76.83,38.35,29.35,-12.96,22.66,64.02,42.77,13.88,41.46,15.41,30.64,13.38,
48.52,2.41,45.96,6.14,30.55,29.79,6.19,72.18,32.89,30.48,-12.59,19.70,64.74,36.49,16.37,34.90,18.02,24.17,16.26,
43.12,4.01,43.88,8.06,34.74,24.61,7.33,67.53,27.91,31.23,-12.35,16.04,65.11,31.77,18.95,30.22,20.58,19.82,19.09,
37.80,5.11,43.58,9.59,38.67,20.91,7.75,63.37,24.06,31.17,-12.74,11.82,64.68,29.23,20.81,28.22,22.25,18.42,21.00,
32.94,5.09,45.28,10.09,41.61,19.14,6.90,60.10,21.82,30.00,-14.27,7.25,63.08,29.16,21.25,29.29,22.30,20.34,21.23,
28.86,3.42,48.91,9.04,42.83,19.47,4.37,58.02,21.40,27.51,-17.42,2.74,60.04,31.44,19.77,33.30,20.30,25.38,19.37,
25.79,-0.17,54.05,6.18,41.78,21.77,0.01,57.33,22.83,23.71,-22.42,-1.25,55.50,35.54,16.22,39.63,16.20,32.84,15.40,
23.82,-5.67,60.02,1.50,38.15,25.59,-6.04,58.04,25.75,18.79,-29.25,-4.21,49.66,40.64,10.83,47.24,10.29,41.56,9.67,
22.90,-12.76,66.00,-4.68,32.03,30.28,-13.38,60.02,29.69,13.14,-37.56,-5.68,42.92,45.78,4.13,54.91,3.22,50.17,2.88,
22.86,-20.85,71.18,-11.79,23.87,35.08,-21.36,62.96,33.97,7.28,-46.70,-5.39,35.86,50.05,-3.08,61.45,-4.16,57.41,-4.14,
23.41,-29.20,74.94,-19.10,14.46,39.26,-29.21,66.45,37.95,1.77,-55.83,-3.32,29.15,52.81,-9.93,65.95,-10.99,62.28,-10.50,
24.21,-37.00,76.92,-25.83,4.82,42.26,-36.10,70.04,41.07,-2.81,-64.00,0.32,23.46,53.79,-15.60,67.94,-16.45,64.31,-15.43,
24.94,-43.48,77.12,-31.24,-3.92,43.79,-41.31,73.31,42.99,-5.91,-70.34,5.01,19.41,53.12,-19.44,67.49,-19.97,63.57,-18.37,
25.34,-48.05,75.83,-34.78,-10.75,43.80,-44.24,75.93,43.59,-7.13,-74.12,10.16,17.45,51.23,-21.05,65.04,-21.23,60.55,-19.03,
25.27,-50.33,73.50,-36.09,-14.88,42.51,-44.56,77.72,43.01,-6.17,-74.91,15.11,17.86,48.76,-20.32,61.39,-20.18,56.11,-17.39,
24.73,-50.20,70.65,-35.14,-15.88,40.24,-42.20,78.66,41.52,-2.97,-72.56,19.38,20.73,46.28,-17.45,57.32,-17.08,51.05,-13.73,
23.81,-47.87,67.63,-32.16,-13.77,37.40,-37.42,78.82,39.48,2.33,-67.32,22.66,25.84,44.18,-12.89,53.47,-12.44,46.05,-8.58,
22.69,-43.78,64.68,-27.62,-8.98,34.36,-30.74,78.43,37.27,9.36,-59.71,24.89,32.77,42.58,-7.28,50.23,-6.93,41.52,-2.63,
21.55,-38.55,61.88,-22.18,-2.27,31.49,-22.91,77.76,35.29,17.53,-50.51,26.20,40.89,41.44,-1.34,47.76,-1.28,37.65,3.33,
20.63,-32.90,59.27,-16.54,5.39,29.10,-14.75,77.10,33.90,26.08,-40.63,26.79,49.43,40.60,4.23,46.13,3.81,34.51,8.61,
20.10,-27.50,56.92,-11.34,13.02,27.51,-7.09,76.75,33.44,34.22,-30.97,26.90,57.60,39.93,8.87,45.34,7.82,32.20,12.66,
20.10,-22.92,54.98,-7.10,19.74,26.99,-0.61,76.95,34.15,41.19,-22.35,26.70,64.65,39.46,12.19,45.50,10.43,30.89,15.17,
20.75,-19.54,53.74,-4.15,24.94,27.79,4.26,77.88,36.20,46.41,-15.31,26.28,70.04,39.38,14.07,46.84,11.56,30.91,16.14,
22.11,-17.49,53.50,-2.57,28.31,30.05,7.37,79.61,39.61,49.53,-10.18,25.62,73.44,39.97,14.64,49.61,11.43,32.61,15.83,
24.19,-16.73,54.57,-2.28,29.80,33.78,8.81,82.15,44.25,50.49,-6.99,24.78,74.82,41.57,14.16,54.01,10.37,36.25,14.62,
26.98,-17.05,57.14,-3.02,29.64,38.81,8.89,85.42,49.78,49.48,-5.54,23.83,74.35,44.41,13.03,60.03,8.82,41.81,13.03,
30.40,-18.16,61.16,-4.46,28.15,44.74,8.03,89.27,55.72,46.90,-5.54,22.95,72.39,48.55,11.67,67.39,7.22,48.97,11.51,
34.39,-19.71,66.39,-6.23,25.76,51.05,6.69,93.55,61.52,43.26,-6.61,22.47,69.38,53.81,10.43,75.49,5.92,57.00,10.44,
38.85,-21.41,72.37,-8.01,22.80,57.14,5.22,98.10,66.61,39.06,-8.42,22.75,65.75,59.84,9.55,83.56,5.14,64.98,10.02,
43.66,-23.03,78.47,-9.57,19.53,62.41,3.85,102.78,70.54,34.70,-10.74,24.10,61.81,66.10,9.12,90.70,4.94,71.82,10.28,
48.68,-24.42,84.06,-10.77,16.12,66.38,2.71,107.49,73.00,30.50,-13.40,26.74,57.80,71.98,9.10,96.07,5.23,76.59,11.13,
53.74,-25.50,88.51,-11.57,12.66,68.76,1.78,112.15,73.94,26.63,-16.29,30.65,53.87,76.93,9.35,99.10,5.84,78.66,12.35,
58.62,-26.26,91.32,-12.03,9.20,69.45,0.99,116.63,73.45,23.17,-19.30,35.56,50.10,80.42,9.63,99.48,6.48,77.75,13.60,
63.08,-26.73,92.22,-12.28,5.86,68.55,0.27,120.79,71.82,20.17,-22.26,40.94,46.62,82.14,9.72,97.31,6.90,74.06,14.57,
66.86,-26.91,91.18,-12.41,2.78,66.38,-0.38,124.47,69.46,17.66,-24.93,46.13,43.54,81.99,9.45,93.01,6.88,68.21,14.95,
69.74,-26.74,88.48,-12.47,0.20,63.38,-0.91,127.49,66.86,15.71,-26.99,50.37,41.06,80.12,8.77,87.36,6.28,61.17,14.54,
71.58,-26.16,84.65,-12.46,-1.58,60.11,-1.20,129.71,64.50,14.40,-28.07,52.95,39.40,76.96,7.73,81.33,5.13,54.10,13.30,
72.38,-25.02,80.44,-12.26,-2.23,57.15,-1.05,131.05,62.81,13.83,-27.86,53.39,38.76,73.18,6.54,75.96,3.62,48.18,11.38,
72.27,-23.17,76.65,-11.66,-1.49,55.00,-0.27,131.57,62.08,14.10,-26.12,51.52,39.29,69.50,5.51,72.15,2.07,44.36,9.14,
71.50,-20.48,73.99,-10.47,0.78,54.01,1.30,131.39,62.43,15.26,-22.74,47.55,41.05,66.59,4.99,70.49,0.86,43.20,7.02,
70.39,-16.87,72.88,-8.48,4.58,54.30,3.78,130.75,63.79,17.33,-17.78,42.02,44.00,64.92,5.28,71.19,0.38,44.77,5.52,
69.27,-12.35,73.44,-5.60,9.73,55.73,7.17,129.93,65.84,20.25,-11.42,35.77,48.02,64.66,6.60,73.93,0.95,48.56,5.12,
