-9.56,-9.97,-2.92,-8.87,-8.00,-7.57,-7.48,-10.32,-8.79,-15.58,25.61,-8.43,-14.13,-3.74,-6.89,-7.53,-7.15,-6.40,-7.64,
-9.45,-9.19,-1.40,-7.78,-8.61,-5.20,-6.49,-9.53,-5.89,-14.34,25.32,-5.19,-12.57,-2.28,-5.33,-5.90,-5.67,-4.83,-6.18,
-8.49,-8.57,0.69,-6.84,-9.34,-2.29,-5.89,-8.16,-2.36,-13.52,24.55,-1.43,-11.66,-0.36,-4.14,-3.76,-4.58,-2.73,-5.08,
-6.81,-8.13,3.13,-6.10,-10.13,0.86,-5.66,-6.37,1.42,-13.09,23.34,2.50,-11.36,1.78,-3.38,-1.37,-3.91,-0.36,-4.37,
-4.62,-7.79,5.67,-5.52,-10.83,3.92,-5.67,-4.36,4.99,-12.92,21.85,6.23,-11.49,3.89,-2.98,1.03,-3.57,2.04,-3.95,
-2.11,-7.43,8.05,-5.00,-11.25,6.55,-5.73,-2.33,7.95,-12.79,20.27,9.40,-11.77,5.76,-2.76,3.19,-3.39,4.19,-3.63,
0.51,-6.92,10.04,-4.41,-11.28,8.51,-5.63,-0.46,9.99,-12.49,18.80,11.75,-11.89,7.21,-2.56,4.90,-3.17,5.91,-3.23,
3.07,-6.17,11.45,-3.69,-10.87,9.62,-5.27,1.14,10.93,-11.84,17.58,13.13,-11.59,8.14,-2.20,6.07,-2.75,7.08,-2.58,
5.42,-5.17,12.22,-2.79,-10.06,9.84,-4.59,2.41,10.77,-10.76,16.62,13.51,-10.74,8.57,-1.57,6.65,-2.01,7.67,-1.61,
7.48,-3.95,12.34,-1.74,-8.98,9.24,-3.63,3.34,9.64,-9.29,15.87,13.00,-9.34,8.56,-0.65,6.70,-0.93,7.74,-0.30,
9.18,-2.63,11.89,-0.62,-7.79,8.00,-2.52,3.98,7.79,-7.54,15.18,11.81,-7.50,8.21,0.50,6.32,0.41,7.39,1.26,
10.49,-1.35,11.00,0.46,-6.66,6.36,-1.43,4.38,5.55,-5.70,14.37,10.21,-5.44,7.65,1.77,5.63,1.89,6.74,2.91,
11.41,-0.25,9.83,1.40,-5.73,4.57,-0.51,4.64,3.23,-4.01,13.26,8.47,-3.44,6.99,3.01,4.77,3.33,5.92,4.48,
11.95,0.56,8.52,2.09,-5.04,2.87,0.10,4.80,1.13,-2.70,11.73,6.83,-1.77,6.30,4.05,3.82,4.55,5.02,5.79,
