start		1563371962.727825000	1563371963.836686000
audio		1563371997.227801000	1563372025.523574000
audio		1563372026.047578000	1563372035.602378000
audio		1563372036.624883000	1563372048.751224000
audio		1563372051.886091000	1563372065.749539000
audio		1563372067.157629000	1563372084.998270000
audio		1563372086.802443000	1563372096.456279000
audio		1563372098.720273000	1563372111.071361000
audio		1563372112.793131000	1563372128.613958000
audio		1563372130.492822000	1563372141.713148000
audio		1563372142.900270000	1563372159.963459000
audio		1563372161.525736000	1563372175.018066000
audio		1563372176.904057000	1563372190.513472000
audio		1563372191.696927000	1563372207.242294000
audio		1563372208.400617000	1563372218.531735000
audio		1563372220.416527000	1563372232.743505000
audio		1563372242.178602000	1563372254.014620000
audio		1563372254.926091000	1563372274.957306000
audio		1563372275.921585000	1563372291.247513000
audio		1563372292.130091000	1563372304.230472000
audio		1563372305.417928000	1563372323.641245000
audio		1563372324.499707000	1563372334.378653000
audio		1563372335.596045000	1563372353.962834000
audio		1563372354.943306000	1563372362.661561000
audio		1563372367.198644000	1563372384.840417000
audio		1563372386.872771000	1563372411.136412000
audio		1563372412.366209000	1563372432.611213000
audio		1563372440.218979000	1563372469.515404000
audio		1563372471.337498000	1563372487.469503000
audio		1563372488.580798000	1563372516.937089000
audio		1563372518.551201000	1563372533.615252000
audio		1563372536.240822000	1563372551.780804000
